Date,Real value,1 week forecasting,2 weeks forecasting,3 weeks forecasting,4 weeks forecasting,last forecasting
2020-08-18,312.133333333333,284.944734248258,341.410590117789,680.576447365867,2929.56101496559,
2020-08-19,322.2,300.727099538979,369.649876866905,702.182332780328,2869.9663466331,
2020-08-20,332.44,319.291335597491,398.516308700746,674.722993530578,2711.26291719963,
2020-08-21,353.2,340.693050871853,423.23401029363,656.186949227463,2600.52221734636,
2020-08-22,376.6,364.702578249778,439.849114978152,652.599827384906,2533.90423152255,
2020-08-23,402.84,390.532372361854,448.566752471023,667.389510051204,2492.98122845286,
2020-08-24,431.84,417.621506883752,455.463723389506,692.932497773871,2467.51774895489,
2020-08-25,465.08,446.395734361325,464.601331366017,727.480033235255,2446.70754013984,
2020-08-26,502.76,477.585410617269,481.388565163773,764.397861640638,2457.50598263407,
2020-08-27,543.52,511.209634370944,507.835133181084,810.206033872776,2234.51637934528,
2020-08-28,585.32,546.860327216315,541.377475501963,845.240490529264,2054.96097763023,
2020-08-29,627.96,584.853839187025,581.472105874726,858.037104665779,1927.21316820952,
2020-08-30,670.2,625.234437731495,624.672070327845,846.602969210534,1850.37622150259,
2020-08-31,712.24,668.285595677441,667.76096987043,831.628320917174,1795.44731121934,
2020-09-01,755.24,714.055730202361,713.921614799083,821.711388355635,1762.12588643218,
2020-09-02,801.52,761.46477182725,766.066840294407,831.523543065031,1749.13392464595,
2020-09-03,849.68,809.924057212149,822.328669335891,869.795257162411,1808.40430613162,
2020-09-04,902.56,859.872821452584,880.38032676137,922.351763563129,1844.63268493885,
2020-09-05,958.36,911.495956122908,940.686680524674,988.909451591026,1827.89762047334,
2020-09-06,1016.96,964.848032317063,1003.22518075268,1060.24477805081,1745.55810292217,
2020-09-07,1078.36,1019.585264045,1068.31206018238,1125.97304906749,1659.00243661456,
2020-09-08,1144.96,1075.3539781475,1136.81246332084,1198.16595895149,1583.12704556898,
2020-09-09,1211.72,1131.67392150697,1204.76208080652,1284.25102355884,1555.33987724689,
2020-09-10,1276.72,1188.06005015522,1271.15406689018,1376.67271371096,1611.42820579652,
2020-09-11,1340.12,1245.00243336417,1338.52996404574,1469.2922582664,1694.56374273527,
2020-09-12,1401.52,1302.77701016799,1406.55124903712,1562.78240498444,1807.46026506395,
2020-09-13,1459.76,1361.73771175034,1473.87341243237,1658.11089588995,1928.85998581657,
2020-09-14,1517.08,1420.74201242297,1541.85880250452,1754.0874114844,2029.95865756351,
2020-09-15,1578.88,1478.89303613596,1606.88009521054,1853.9576684767,2145.33721918081,
2020-09-16,1644,1536.91810156234,1666.37227845574,1947.98656348896,2290.64024852955,
2020-09-17,1710.6,1596.39452200101,1720.47975095628,2035.73520954648,2444.86440745397,
2020-09-18,1776.24,1656.2953081732,1772.46113732306,2123.92507129565,2595.29007493716,
2020-09-19,1839.24,1715.72641154795,1824.75504109663,2209.23115537108,2741.94493468465,
2020-09-20,1894.12,1773.45528810966,1880.67165338518,2284.40218720021,2889.29946898473,
2020-09-21,1941.56,1830.1974204313,1934.84979567961,2360.46582828673,3031.03069278483,
2020-09-22,1981.56,1884.45707447262,1983.49085481872,2424.04967914291,3176.13752672556,
2020-09-23,2018.8,1935.90283793466,2030.54573188039,2467.87068569447,3303.65281854622,
2020-09-24,2053.96,1985.16303420491,2080.36577050355,2497.09101494155,3416.48405393598,
2020-09-25,2088.76,2032.9520068949,2128.84160548296,2521.41244472372,3527.77622658377,
2020-09-26,2124.48,2079.32007911902,2172.77775579561,2548.34387647775,3623.49198388286,
2020-09-27,2164.48,2125.89271383629,2209.92773788134,2588.93248957699,3678.03973740783,
2020-09-28,2206.04,2172.51623854737,2244.19871425589,2625.63649107572,3736.67627388224,
2020-09-29,2253.64,2220.3486086129,2273.45170410604,2648.53654666321,3762.66972148441,
2020-09-30,2312.48,2270.88596127723,2298.65421773972,2669.65191388742,3740.31413087812,
2020-10-01,2380.12,2323.67180923361,2323.49465648042,2695.777241035,3690.09693165709,
2020-10-02,2451.64,2378.45778869876,2351.2763328561,2716.50791099498,3633.91922100173,
2020-10-03,2530.64,2437.67855843727,2382.80586337684,2724.87161523326,3592.12168236393,
2020-10-04,2616.72,2505.64734208429,2422.41889373208,2719.13147119287,3595.79196890386,
2020-10-05,2708,2587.4155392334,2468.95954455208,2708.06877456236,3593.27309395207,
2020-10-06,2810.08,2687.69909502379,2526.51391354632,2690.50659945586,3563.49868201341,
2020-10-07,2928.52,2806.35122826142,2598.56316451163,2669.90119151124,3536.02664661389,
2020-10-08,3058.8,2939.62145099284,2680.40557455455,2653.67829825444,3516.84906927611,
2020-10-09,3193.96,3083.83962847837,2767.93553346565,2648.55164548003,3484.9578954119,
2020-10-10,3332.88,3235.3044881911,2869.2772926352,2657.43417736156,3427.70787048696,
2020-10-11,3471.36,3389.61464374493,2998.57728664275,2688.9570947681,3347.31915819064,
2020-10-12,3612.92,3545.90128830843,3177.14111020852,2741.71762705139,3259.31728272659,
2020-10-13,3765.04,3707.2390494115,3417.95539324537,2825.91693274583,3167.39248601846,
2020-10-14,3938.08,3876.74298014427,3712.60748145629,2950.82183871654,3077.93889008914,
2020-10-15,4129.72,4057.40127340177,4036.79518932487,3101.38973311218,3000.95951164593,
2020-10-16,4342.16,4253.00616314083,4373.92685670847,3264.19462525785,2946.90313856273,
2020-10-17,4568.76,4461.56413421082,4709.1218878378,3458.41163428158,2923.2593505857,
2020-10-18,4803.76,4681.14103930277,5024.95557018573,3720.24456828294,2945.49753184031,
2020-10-19,5051.64,4911.84041786709,5312.05163788411,4122.15603317719,3014.54656354278,
2020-10-20,5326,5157.3328601006,5588.88194111366,4691.97639261633,3151.57384653909,
2020-10-21,5632.88,5423.03368251652,5876.29066599278,5392.97609604765,3382.12298771883,
2020-10-22,5976.96,5717.26874474977,6190.34790316508,6144.5511929494,3668.51082111351,
2020-10-23,6362.16,6041.29832302473,6536.77171252833,6906.90648247901,3978.01904845989,
2020-10-24,6783.48,6402.49397158351,6900.90511842406,7645.90727163943,4349.62793778814,
2020-10-25,7230.28,6806.80512711499,7272.9414181892,8313.46992481938,4867.92712375226,
2020-10-26,7705.32,7253.01335525487,7643.59469397432,8861.67124696347,5744.80590274082,
2020-10-27,8217.04,7735.85195765955,8031.27737482119,9353.73459262222,7029.16739480489,
2020-10-28,8769.84,8247.95455746405,8467.07247249762,9870.32692229023,8606.12633746292,
2020-10-29,9351.4,8780.33457486932,8979.59601370483,10461.8008083386,10262.0946715648,
2020-10-30,9972.72,9338.89616144788,9560.95919812968,11119.6940439274,11921.7344105141,
2020-10-31,10621.12,9933.30626111745,10226.9610987427,11797.3374102079,13520.4708929916,
2020-11-01,11279.56,10567.2558379733,10991.348702721,12466.6738195197,14942.6713061701,
2020-11-02,11945.8,11238.463305245,11849.4461371766,13080.8645973222,16018.3875571235,
2020-11-03,12639.96,11937.6972069836,12754.9884454121,13705.8415306847,16922.1930849471,
2020-11-04,13337.2,12646.8142875722,13639.3423623518,14463.7286261653,17898.4413172879,
2020-11-05,14032.96,13356.8675601007,14474.6886887399,15424.5234850014,19070.9807364642,
2020-11-06,14748,14065.6829345441,15302.2925295087,16534.481199618,20368.9818712711,
2020-11-07,15489.2,14771.5109310629,16164.9827346073,17811.4696572165,21680.7397142031,
2020-11-08,16252.28,15488.9232205164,17071.2540330788,19286.3512081773,22937.4073556574,
2020-11-09,17072.04,16245.2495736609,18008.9432356672,20967.8105776832,23978.81159549,
2020-11-10,17989.92,17062.8172927413,18929.4143771893,22684.3340270893,24997.6826556428,
2020-11-11,18978.4,17951.8699545623,19778.137342151,24159.5601636337,26366.0596757081,
2020-11-12,20011.52,18909.6023417685,20534.8419705091,25355.7248110541,28232.5921633275,
2020-11-13,21078.6,19908.4235961149,21214.8316295898,26447.9040768574,30395.7732349495,
2020-11-14,22148.56,20926.7968300056,21832.0490687595,27558.0698336169,32854.1984378465,
2020-11-15,23163.96,21939.893561174,22455.0245491751,28703.7251066719,35676.3993129405,
2020-11-16,24140.48,22925.9392631585,23213.1289253782,29848.8607703858,38945.932831587,
2020-11-17,25097.84,23877.7462571142,24214.4557112937,30839.2950750947,42172.7142394096,
2020-11-18,26031.68,24821.8989138524,25463.8107376996,31547.9159911742,44529.6846880946,
2020-11-19,26933.56,25774.0585697819,26904.0660019255,31957.0545709919,46025.3524252729,
2020-11-20,27829.44,26753.8121963287,28411.3202632986,32151.0080449761,47213.8501209047,
2020-11-21,28724.96,27763.4494193748,29906.4586292506,32184.9041266338,48376.3724362973,
2020-11-22,29606.76,28784.0080649185,31303.0691335632,32237.1080609352,49550.4592908711,
2020-11-23,30498.24,29793.5541572232,32508.718627523,32677.8381105098,50651.7533723151,
