Date,Real value,1 week forecasting,2 weeks forecasting,3 weeks forecasting,4 weeks forecasting,Max capacity,last forecasting
2020-08-18,57.4666666666667,54.4270156992919,58.353893484146,84.1839508180841,290.758262855074,3738,
2020-08-19,59.05,57.1451906576417,64.1037845763023,88.0062938632766,283.295195430941,3738,
2020-08-20,61.2,60.2704063571942,69.6116886132,87.8933927025636,271.559392730274,3738,
2020-08-21,65.56,63.7849478224524,74.5743950991641,88.6446846815623,264.530121366022,3738,
2020-08-22,70.56,67.7121019239203,78.7028265294649,91.2129630817379,262.115488565564,3738,
2020-08-23,76.32,72.1618130467431,81.8656579900838,96.2089023147248,262.42857364835,3738,
2020-08-24,82.92,77.0289875848682,84.2653845861922,103.403756952583,264.252240129754,3738,
2020-08-25,89.6,82.257036425099,86.6572028298071,112.142294250186,266.082252619559,3738,
2020-08-26,96.24,87.9898923865245,89.5398135136801,121.68967825404,268.946869772803,3738,
2020-08-27,102.56,94.3823831319222,93.7423645030835,131.10862333553,252.424982736376,3738,
2020-08-28,108.72,101.362663770557,98.9776636202016,138.977012658976,239.86217031744,3738,
2020-08-29,114.88,108.779454713832,105.255156293483,144.114294102306,233.081434378283,3738,
2020-08-30,121.24,116.535151879303,112.752708384303,146.026142567995,233.041694826756,3738,
2020-08-31,127.8,124.71955093993,120.73495026779,146.173051464783,237.519722793233,3738,
2020-09-01,134.64,133.258182629211,129.373522527532,146.401358771756,245.40537970661,3738,
2020-09-02,141.56,142.078796054627,139.155410898205,148.485511184603,256.543746160777,3738,
2020-09-03,148.08,150.863838415732,150.276202602401,154.238685348425,271.115140503134,3738,
2020-09-04,153.76,159.597450037188,162.324789979275,162.176355875525,282.221430907984,3738,
2020-09-05,158.88,168.116691211714,174.902951188457,172.468955895258,286.321007412641,3738,
2020-09-06,164,176.038073311143,187.617921627674,185.431052301988,281.46584940195,3738,
2020-09-07,169.2,183.439229794516,200.992294531809,198.440116855277,273.29830981768,3738,
2020-09-08,174.28,190.360374502707,214.760507363591,212.737795911078,265.602133303137,3738,
2020-09-09,180.08,196.612931386664,228.491847841838,229.6050348209,263.320473888443,3738,
2020-09-10,186.48,202.264075276347,241.519027353895,248.685021688976,271.282571842219,3738,
2020-09-11,192.8,207.183790778856,254.093659963678,268.847522546511,283.433390431759,3738,
2020-09-12,198.64,211.729889988271,265.86451224498,289.347425057711,300.674449500142,3738,
2020-09-13,204.2,216.332276143345,275.619364683971,309.094148120589,324.053081651504,3738,
2020-09-14,208.72,220.775737540578,284.067114439153,329.76006716452,345.858312113463,3738,
2020-09-15,211.8,224.809639894473,291.036762656651,350.734660972188,370.253375694001,3738,
2020-09-16,213.4,228.52643707613,296.040040018496,370.696798209204,400.049343837162,3738,
2020-09-17,213.88,231.786427364819,299.367491863898,388.839142904157,433.08971876062,3738,
2020-09-18,213.68,234.668549352565,300.930108780174,406.056732669616,467.016278970675,3738,
2020-09-19,213.24,236.969669369672,301.791422258522,421.343315440185,500.399530595226,3738,
2020-09-20,212.92,238.631855307505,303.46373637292,431.475224688862,530.298035461472,3738,
2020-09-21,213.2,239.594597905813,304.833716479417,439.300476290686,561.211660348931,3738,
2020-09-22,213.8,240.00716121877,305.215131003562,443.64055777461,592.001393168,3738,
2020-09-23,214.72,239.922357368894,305.200623401512,443.411055988699,619.576285382969,3738,
2020-09-24,216.16,239.526123264304,304.712967788057,439.748595714593,643.523993976973,3738,
2020-09-25,217.76,239.1993581347,303.836634537855,433.289367893604,665.882525213183,3738,
2020-09-26,219.48,238.833399128838,301.981701284906,426.357891154741,683.665643262204,3738,
2020-09-27,221.8,238.331514192347,299.17419891322,422.766976627263,688.510982416878,3738,
2020-09-28,224.36,237.882891429051,295.368082753997,418.732145979616,689.94481964563,3738,
2020-09-29,226.68,237.663558432832,291.026272311888,412.770991533408,684.127302249611,3738,
2020-09-30,229.52,237.710124955801,286.216041985126,406.563855617199,668.864752853765,3738,
2020-10-01,232.88,238.151724522525,281.38264976373,400.090388232249,647.602922516358,3738,
2020-10-02,236.92,238.894705840675,277.534538748647,392.921608195765,622.808744048456,3738,
2020-10-03,241.92,240.332590641801,274.382702359294,383.940534187607,599.409810648298,3738,
2020-10-04,249.08,242.894948849047,271.498787646914,373.561502312594,586.603859235124,3738,
2020-10-05,258.6,246.888784105534,269.286112300814,361.949668609987,573.36426374552,3738,
2020-10-06,269.92,252.579397125254,268.159087864163,350.206588075682,556.852435229815,3738,
2020-10-07,282.16,260.1173485521,267.98721363961,338.460611872603,540.946392231594,3738,
2020-10-08,294.96,269.334890956387,268.734624126101,327.438702534874,525.295705358366,3738,
2020-10-09,306.52,279.956438813569,269.819813805442,318.803899305841,508.135415174917,3738,
2020-10-10,315.36,291.660948861257,272.193907287565,312.178377761093,487.6408762682,3738,
2020-10-11,322.36,304.028808718959,277.021666602793,306.692677099211,465.161802537849,3738,
2020-10-12,328.28,316.673445641647,285.345251272804,303.091915872951,441.362750592166,3738,
2020-10-13,335.12,329.497931996189,297.906945915006,302.215318432496,418.576048759153,3738,
2020-10-14,343.88,342.545314693857,314.835193280952,303.748062508597,397.021497806026,3738,
2020-10-15,356.24,356.467304051311,334.984455298381,307.086709740781,377.528038662207,3738,
2020-10-16,372.72,371.077948365642,357.28840904455,310.905966659131,362.343642724367,3738,
2020-10-17,393.12,386.573029861461,380.727413033115,316.962547644233,351.239777756613,3738,
2020-10-18,414.4,403.14878506512,404.129687583315,327.828802533724,342.823782694226,3738,
2020-10-19,437.2,421.05146345309,426.512225419978,346.955977140123,338.419449912134,3738,
2020-10-20,461.56,440.286420710255,448.210579170656,376.181133329276,339.558517087185,3738,
2020-10-21,486.24,460.941445366088,470.014115633221,414.870012471234,345.975678513294,3738,
